상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,지번주소,경도,위도
양지빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중구 신당동 304-339,127.0131023,37.56329997
운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 중곡동 240-4,127.079647,37.56335092
명백드라이빨래,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 휘경동 155-10,127.0645921,37.59324643
월풀세탁빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 1435-2,126.9274539,37.48563983
화이트운동화빨래방,염창점,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 강서구 염창동 249-4,126.8729962,37.55044031
운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 622-61,126.9445766,37.48700144
월풀빨래방사근동점,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성동구 사근동 301-57,127.0447558,37.5611185
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 방배동 767-5,126.9851922,37.49461078
개울가에빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중랑구 중화동 281-1,127.080062,37.6041445
연세셀피아빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서대문구 신촌동 134,126.9429168,37.56380069
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 94-5,126.8458215,37.54693407
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 마포구 공덕동 79-14,126.957355,37.54872851
동그라미빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동작구 대방동 5-1,126.9333989,37.50570594
운동화이불뽀송뽀송빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 양천구 목동 42-107,126.869717,37.54276818
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 응암동 239-2,126.9218664,37.59341658
운동화빨래방이불,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 방화동 251-15,126.8151845,37.56930053
유니빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성동구 마장동 441-15,127.0328746,37.56959972
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 상계동 1013-14,127.0607097,37.67411972
빨래하고수선하고,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동작구 사당동 316-240,126.9753635,37.48146969
24시셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 성내동 435-42,127.129459,37.52669537
크린업24셀프빨래방노원점,노원점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 상계동 581-87,127.0618872,37.65892868
운동화빨래방,,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 강서구 가양동 1485,126.8592694,37.56375191
모아빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 1672-4,126.9585327,37.48030433
월드빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강남구 청담동 126-1,127.0515041,37.52610404
운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중랑구 면목동 350-58,127.0829273,37.57645967
셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 성내동 383,127.1330737,37.53402953
크린킹빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 가락동 47-12,127.120884,37.49866297
셀프빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동작구 상도동 358-1,126.9361565,37.5042621
운동화빨래방이불,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성북구 장위동 66-282,127.0535237,37.61153043
크린업24셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 장안동 373-8,127.0694564,37.56998384
크린업24.셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성북구 정릉동 258-41,127.0098304,37.61377589
발걸음운동화빨래방,,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 동대문구 전농동 46-38,127.0584228,37.57869057
빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 암사동 489-76,127.1348022,37.54895468
셀프빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 용산구 원효로1가 38-3,126.9686579,37.54070938
스타빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 종로구 명륜3가 1-181,126.9949635,37.58897981
빨래골빈대떡,,음식,한식,파전전문,한식 음식점업,서울특별시 강북구 수유동 57-76,127.0179949,37.63029704
24시빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 방배동 830-22,126.9879631,37.48872364
24시셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 장안동 459-1,127.0681319,37.56271996
빨래천국세탁소,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 구로구 신도림동 649,126.8824297,37.50906414
셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강남구 논현동 138-16,127.0259079,37.50995608
운동화빨래방이불,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 구로구 오류동 145-27,126.8456645,37.49323968
빨래방세탁소,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 응암동 419-57,126.9208429,37.59450648
빨래방,서부역점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중구 만리동1가 231,126.9669621,37.55617448
운동화빨래방,,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 강남구 신사동 614-7,127.0304386,37.52783419
운동화빨래방이불,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서대문구 창천동 495,126.9268438,37.5606372
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강남구 개포동 170,127.0602953,37.48364445
운동화빨래방이불,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서대문구 홍은동 48-355,126.9445488,37.59333327
빨래골,,음식,한식,한식/백반/한정식,한식 음식점업,서울특별시 강북구 수유동 486-715,127.009999,37.62754513
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 금천구 독산동 1019-4,126.9020469,37.46860188
운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 방화동 572-4,126.8130381,37.57330656
24시셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 1542-14,126.9364097,37.46806018
깨운이빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 양천구 목동 717-5,126.8663284,37.54011368
곰발바닥운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성북구 동선동5가 45,127.0167656,37.59546171
정성운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 쌍문동 25-40,127.036572,37.6594815
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성동구 성수동2가 289-212,127.0542978,37.54767057
엄마빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중구 장충동2가 193-259,127.0012809,37.55938014
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 성내동 245-34,127.1346378,37.53380673
24시셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 908-66,126.9438076,37.48379584
수정빨래방세탁,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 장안동 396-1,127.0653756,37.567708
24시빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 구로구 고척동 257-18,126.8502821,37.50258346
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 종로구 충신동 52-1,127.0051698,37.57590206
클린빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중랑구 면목동 1425,127.0857928,37.57172436
워시엔조이셀프빨래방,구의점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 구의동 222-39,127.0896726,37.54128081
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 1533-3,126.9346253,37.46953084
은지네빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 종로구 창신동 640-245,127.0095981,37.57491211
운동화빨래방이불,,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 노원구 공릉동 412-28,127.0796281,37.62372976
스피드빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 마포구 노고산동 106-83,126.9361945,37.55416225
대한민국빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 1420-1,126.9320378,37.48612287
미키사세탁빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 장안동 382-15,127.0685946,37.5701032
쎌프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 1461-3,126.9263085,37.48587271
클린클린셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 화양동 36-59,127.0668187,37.54367041
화이트운동화앤빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서대문구 창천동 91-6,126.93331,37.56040746
브로스셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 1042-2,126.8333443,37.5415404
스피드빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 길동 333-2,127.1435508,37.54297238
셀피아빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서대문구 연희동 293-1,126.9319087,37.56580103
크린크린빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강남구 개포동 13-3,127.0796352,37.49433008
스피드워시빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 반포동 736-11,127.0223841,37.50695349
호돌이빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 용산구 이태원동 118-62,126.9917136,37.53524992
메이텍빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 207-21,126.9615417,37.47611389
퍼크로빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 중곡동 634-2,127.0750918,37.56008056
청빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 서초동 1622-19,127.0161684,37.48673629
화이트운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 이문동 292-195,127.0613554,37.59669876
그린빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 영등포구 당산동 121-16,126.908509,37.52871648
셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강남구 대치동 913-25,127.0583966,37.50159643
메이텍빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 천호동 293-20,127.1336772,37.54641447
JJ빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 성내동 228-5,127.1284037,37.53280576
마마운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 성내동 419-39,127.1335408,37.5288699
셀프24시빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 661-51,126.9201863,37.46578656
스피드세탁빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 창동 585-89,127.0350906,37.63907901
셀프빨래방24시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 상계동 1105-73,127.0536116,37.67604525
그린세탁소빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 답십리동 294-114,127.0533341,37.56927899
크린크린빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 반포동 720-1,127.0200646,37.50874539
맑은운동화빨래방,,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 강서구 화곡동 369-40,126.8401951,37.53538174
크린크린빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 방학동 615-8,127.0324258,37.66806142
14년녹색빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 중곡동 56-1,127.0872554,37.56040949
녹색빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 중곡동 56-1,127.0872554,37.56040949
GS25수유빨래골점,수유빨래골점,소매,종합소매점,편의점,체인화 편의점,서울특별시 강북구 수유동 472-205,127.0181165,37.63225329
월풀빨래방크리닝,화곡본동,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 94-5,126.8458215,37.54693407
워시앤원시셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 중곡동 39-30,127.0843017,37.56221575
워시엔조이셀프빨래방,중곡점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 중곡동 98-21,127.0910328,37.55600546
스피드워시빨래방,영동점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 잠원동 34-16,127.0170901,37.51217171
노브레스빨래방잠원점,잠원점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 잠원동 24-6,127.0169309,37.51396348
별장산사랑의빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 금천구 시흥동 420-11,126.908243,37.44675471
크린업빨래방,방배점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 방배동 866-20,126.9841889,37.48602413
모아빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 1672-5,126.9583975,37.4802671
셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 마포구 망원동 424-9,126.9041754,37.55812231
24시셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 제기동 67-209,127.0324289,37.58567069
크린업24셀프빨래방,창동점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 창동 731-66,127.0417808,37.65719927
운동화구두이불빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 쌍문동 716-24,127.0395262,37.6589019
깨끄시24시셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 공항동 667-8,126.8134627,37.55724549
세탁119운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 구로구 구로동 685-70,126.8778592,37.49326155
백양세탁빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 갈현동 504-61,126.9148671,37.61767126
마마운동화이불빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 95-85,126.9384502,37.47725125
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강북구 번동 148-211,127.0353238,37.62717824
크린업24셀프빨래방상계점,상계점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 상계동 140-226,127.073853,37.6636996
셀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 977-4,126.8504201,37.54888012
워시엔조이셀프빨래방반포점,반포점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 반포동 703-14,127.018653,37.50943649
CLEANUP24셀프빨래방대방점,대방점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동작구 대방동 387-1,126.9234718,37.50389489
24시무인빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 금천구 독산동 961-27,126.9038332,37.47710635
무인셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서대문구 홍은동 421-15,126.9247767,37.58160353
화이트운동화&빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 양천구 신정동 999-17,126.8628619,37.52472666
희망빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강북구 수유동 30-64,127.0221851,37.63907187
마마운동화이불빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 28-47,126.956246,37.4837532
자이빨래방세탁소,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강남구 역삼동 711-1,127.0446486,37.49944065
크린업24셀프빨래방은평응암점,은평응암점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 역촌동 83-17,126.915605,37.60196407
24시셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 금천구 독산동 961-27,126.9038332,37.47710635
브로스셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 1035,126.8365481,37.54362637
행복self빨래집,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 금천구 시흥동 819-2,126.9059061,37.45589681
강남워싱빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강남구 일원동 627,127.0842664,37.49291537
마마운동화이불빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 마포구 신수동 448-23,126.9355509,37.54450631
운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 자양동 851-19,127.0663835,37.53773805
운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 금천구 독산동 1057-22,126.8984216,37.46297261
워시테리아빨래방서울역삼점,서울역삼점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강남구 역삼동 789-6,127.0359338,37.49466634
24시빨래방암사점,암사점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 암사동 493-5,127.1323716,37.55165803
워시테리아빨래방송파동점,송파동점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 송파동 175-6,127.115889,37.50218489
워시테리아빨래방상일점,상일점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 상일동 292-5,127.1704225,37.54743523
워시테리아빨래방서울목동점,서울목동점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 양천구 목동 751-3,126.8703407,37.53892672
24시빨래방천호점,천호점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 천호동 86-7,127.136877,37.54469886
크린업24셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 진관동 19,126.9228859,37.64364027
마마운동화이불빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 금천구 시흥동 263-15,126.9123161,37.45034242
화이트운동화&빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 900-25,126.84575,37.5295524
마마운동화이불빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 길동 322-18,127.1449752,37.544091
24시셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중랑구 상봉동 105-77,127.0895351,37.59350455
빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 중곡동 77-33,127.0893576,37.55880383
백조빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 역촌동 70-50,126.9102396,37.60411316
닥터워시운동화빨래방,,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 노원구 공릉동 714,127.0725972,37.62979276
워싱엔조이셀프빨래방,마포망원점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 마포구 망원동 424-9,126.9041754,37.55812231
워시엔조이셀프빨래방,서울대입구점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 1671-35,126.9573632,37.48065444
워시앤조이셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 화양동 132-64,127.0703224,37.54675261
원풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성동구 사근동 301-57,127.0447558,37.5611185
빨래골떡복이,,음식,분식,라면김밥분식,분식 및 김밥 전문점,서울특별시 강북구 수유동 605-646,127.0169567,37.62999105
워시엔조이셀프빨래방,신림역점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 1433-170,126.9257122,37.48487613
마마운동화이불빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 자양동 52-203,127.0634511,37.53606591
빨래골왕감자탕,,음식,한식,해장국/감자탕,한식 음식점업,서울특별시 강북구 수유동 605-451,127.0169646,37.63025242
마마운동화이불빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서대문구 연희동 77-5,126.9351844,37.5742373
형진빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중랑구 면목동 89-38,127.0929301,37.59274678
현대빨래,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 증산동 162-18,126.9106789,37.58641194
크린업24셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성북구 삼선동3가 116,127.0121987,37.58800801
하얀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 이문동 349-11,127.0565981,37.59678698
런드로멧24셀프빨래방,성내점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 성내동 383,127.1330737,37.53402953
빨래골맛집,,음식,한식,한식/백반/한정식,한식 음식점업,서울특별시 강북구 수유동 57-114,127.0182305,37.63133519
하얀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성북구 장위동 237-310,127.0491993,37.61579362
워시엔조이셀프빨래방,은평신사점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 신사동 15-3,126.9093888,37.5995551
24시셀프빨래방,일원점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강남구 일원동 734,127.0834277,37.48288907
마마운동화이불빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 역촌동 54-6,126.9103089,37.60557347
워시프렌즈셀프빨래방도봉구,방학동점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 방학동 719-2,127.0447338,37.6690898